Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,927,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,1142,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,166,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,The James,51.92107428957907,4.477825682849285,233,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,416,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Grand Hotel Central,51.92305111571185,4.476566478788637,409,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,277,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Days Inn,51.92830792825404,4.473928981412871,999,3032 AL,"['Schiekade 730', '3032 AL Rotterdam', 'Nederland']",Hotel,3032
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,557,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,439,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hotel Breitner,51.91566989757951,4.469307301445345,608,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hartig,51.91648381018933,4.478033367653975,360,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Old Dutch,51.91577576266155,4.4712633464381435,508,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hilton Rotterdam,51.92348087523358,4.477438266531781,468,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,H2otel,51.9173925337387,4.487061131594537,807,3011 WR,"['Wijnhaven 20a', '3011 WR Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Mainport Hotel,51.913362,4.482475,815,3011 EA,"['Leuvehaven 77', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Oude Luxor Theater,51.923231265710996,4.477055605176264,435,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Inntel Hotels Rotterdam Centre,51.912675096990135,4.482800355680386,891,3011 EA,"['Leuvehaven 80', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Annabel,51.92540257556953,4.475941780747949,667,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,KINO,51.91717560621591,4.469214206279973,513,3014 PM,"['Gouvernestraat 129-133', '3014 PM Rotterdam', 'Nederland']",Movie Theater,3014
